RHS,R,G,B,L,a,b,L2,C,h
163B,216,165,58,71,9,60,71,60,81
163C,225,184,105,77,6,45,77,45,83
163D,232,201,148,82,4,30,82,30,83
N163A,202,100,50,54,38,45,54,59,51
N163B,221,120,50,61,35,53,61,64,57
N163C,231,145,34,68,25,66,67,70,69
N163D,228,156,40,70,18,65,70,68,74
164A,177,113,73,54,21,32,54,38,56
164B,204,150,94,66,14,37,66,40,69
164C,220,173,115,74,10,36,74,37,74
164D,239,205,171,85,7,21,84,22,70
165A,125,87,73,41,14,14,41,20,45
165B,178,119,73,55,19,34,55,39,61
165C,212,157,109,69,15,33,69,36,65
165D,234,189,149,80,11,26,80,28,67
166A,115,76,72,37,17,9,36,19,28
166B,154,89,73,45,25,20,45,32,39
166C,183,111,83,54,26,27,54,38,46
166D,195,131,97,60,21,28,60,35,53
167A,200,124,63,59,24,44,59,50,61
167B,212,135,78,63,25,42,63,48,60
167C,220,144,88,67,23,41,66,47,60
167D,225,155,101,70,21,38,70,43,61
N167A,173,111,55,53,20,40,52,45,64
N167B,181,108,56,53,25,40,53,47,58
N167C,213,143,83,65,21,42,65,47,63
N167D,207,139,90,64,21,36,64,41,60
168A,214,108,70,57,39,40,57,56,45
168B,215,119,72,60,34,41,60,53,51
168C,228,143,85,67,28,43,67,51,58
168D,235,172,120,75,18,35,75,39,64
169A,201,88,56,51,43,40,51,59,42
169B,213,103,61,56,41,43,56,59,46
169C,220,117,60,60,36,48,60,60,53
169D,230,130,69,64,34,49,64,59,55
170A,213,108,71,57,39,39,57,55,45
170B,219,121,80,61,35,39,61,52,48
170C,228,146,102,68,27,36,68,45,53
170D,243,168,130,75,24,30,75,38,52
N170A,180,101,65,51,29,34,51,44,49
N170B,197,127,89,60,24,31,60,39,53
N170C,220,152,133,69,23,20,69,31,40
N170D,232,183,172,78,17,12,78,20,35
171A,187,97,72,51,34,30,51,46,41
171B,204,105,73,55,37,35,55,51,44
171C,215,119,87,60,35,34,60,48,44
171D,228,143,112,67,29,29,67,41,45
172A,157,78,63,43,32,24,43,40,37
172B,171,87,70,47,33,25,47,41,37
172C,196,106,77,55,33,32,55,46,43
172D,214,131,83,63,28,38,63,47,54
N172A,186,91,56,50,36,37,50,52,46
N172B,193,99,62,53,35,37,53,51,47
N172C,216,115,60,59,36,47,59,59,53
N172D,205,122,64,59,27,44,59,52,58
173A,162,86,76,46,31,19,46,36,33
173B,194,106,83,54,33,28,54,43,40
173C,206,133,103,63,25,28,62,37,47
173D,225,164,132,73,19,25,73,31,53
174A,144,91,80,44,21,15,44,26,36
174B,179,112,93,54,25,21,54,32,41
174C,196,129,109,60,24,21,60,32,41
174D,207,140,119,64,23,21,64,31,42
175A,134,74,64,39,24,17,39,30,34
175B,149,75,60,41,30,23,41,38,37
175C,165,85,63,46,31,28,46,41,41
175D,175,103,82,51,27,24,51,36,41
176A,139,79,75,40,25,13,40,28,27
176B,145,91,86,45,22,12,45,25,28
176C,164,99,90,49,26,16,49,30,32
176D,181,111,95,54,26,20,54,33,38
177A,123,83,76,40,16,10,39,19,33
177B,147,102,89,47,17,14,47,22,40
177C,165,114,100,53,19,15,53,24,40
177D,181,129,116,59,18,14,59,23,38
178A,135,74,75,39,26,10,39,28,22
178B,148,79,77,42,29,14,42,32,25
178C,173,86,80,47,35,20,47,40,29
178D,192,96,84,52,38,25,52,45,33
179A,175,72,74,45,43,20,45,47,25
179B,196,98,90,53,39,23,53,45,30
179C,222,140,124,66,30,21,66,36,35
179D,243,178,158,78,21,19,78,28,41
180A,167,75,80,44,38,16,44,41,21
180B,189,88,92,50,41,17,50,45,22
180C,199,101,105,55,40,15,54,43,21
180D,208,121,124,61,35,13,60,37,20
181A,156,74,81,42,35,11,42,37,18
181B,175,87,91,48,37,14,48,39,21
181C,189,103,110,54,35,11,54,37,17
181D,205,137,142,64,27,8,64,28,15
182A,162,74,84,43,38,11,43,39,17
182B,168,102,106,50,27,8,50,29,17
182C,188,125,129,59,25,7,59,26,16
182D,202,133,137,63,27,8,63,29,17
183A,122,63,65,34,26,10,34,28,21
183B,125,63,69,35,28,8,35,29,17
183C,139,67,77,38,32,8,38,32,14
183D,153,79,93,43,33,5,43,33,10
184A,146,70,79,40,33,9,40,35,16
184B,152,70,84,41,36,8,41,37,12
184C,171,78,99,46,41,6,46,41,8
184D,181,87,110,49,41,5,49,41,6
185A,146,49,65,35,42,13,35,44,16
185B,159,55,81,39,45,8,39,46,9
185C,173,85,107,48,38,4,48,38,6
185D,195,106,131,56,38,2,56,38,2
186A,168,74,106,45,43,0,45,42,0
186B,186,90,128,51,43,-4,51,43,355
186C,200,128,160,62,33,-6,62,33,349
186D,220,162,189,73,26,-6,73,27,347
N186A,73,66,77,29,5,-6,29,8,313
N186B,74,63,77,28,8,-8,28,11,318
N186C,96,62,70,30,16,1,30,16,3
N186D,131,53,79,34,37,1,34,37,1
187A,92,53,62,27,19,2,27,19,5
187B,113,51,66,30,29,4,30,29,7
187C,129,55,72,34,34,5,34,34,8
187D,148,54,85,37,43,2,37,42,3
N187A,81,67,79,30,9,-6,30,11,328
N187B,118,102,116,45,9,-6,45,11,327
N187C,151,137,152,59,8,-7,59,11,321
N187D,188,174,188,73,8,-6,73,10,322
188A,151,159,164,65,-2,-4,65,4,250
188B,162,169,172,69,-2,-3,69,3,243
188C,177,184,187,74,-1,-3,74,4,244
188D,195,199,205,80,0,-4,80,4,271
189A,101,113,101,46,-7,5,46,8,146
189B,135,152,148,61,-7,-1,61,7,185
189C,173,181,182,73,-3,-2,73,3,225
189D,196,199,205,80,1,-4,80,4,276
N189A,69,79,78,33,-4,-1,33,4,196
N189B,92,102,103,42,-3,-2,42,4,215
N189C,132,137,141,57,-1,-3,57,4,258
N189D,173,176,182,72,1,-4,72,4,276
190A,164,175,166,70,-5,3,70,6,154
190B,177,186,181,75,-4,1,75,4,170
190C,188,195,193,78,-2,-1,78,2,195
190D,212,212,214,85,1,-2,85,2,292
191A,124,135,116,55,-8,8,55,11,132
191B,140,153,130,61,-9,10,61,13,131
191C,169,179,164,72,-6,6,72,8,136
191D,194,195,190,79,-1,2,79,2,120
192A,197,203,188,81,-4,6,81,8,126
192B,202,207,196,83,-3,4,83,6,130
192C,215,217,213,86,-1,1,86,1,140
192D,225,226,224,90,0,0,90,0,187
193A,191,198,170,79,-7,13,79,14,119
193B,199,205,183,82,-6,10,81,11,121
193C,210,214,201,85,-3,5,85,6,123
193D,215,218,208,87,-2,3,86,4,123
194A,156,159,138,65,-5,10,65,11,115
194B,164,168,144,68,-6,11,68,13,116
194C,186,188,167,76,-4,10,76,11,113
194D,200,198,182,80,-2,8,80,8,103
195A,158,154,129,63,-3,13,63,13,101
195B,184,178,154,73,-2,13,72,13,98
195C,197,195,176,78,-2,9,78,9,104
195D,206,203,187,82,-1,8,82,8,100
196A,188,184,167,75,-1,8,75,8,98
196B,201,198,183,80,-1,8,80,8,100
196C,211,204,194,82,1,5,82,5,78
196D,219,215,209,86,1,3,86,3,75
197A,126,114,99,49,3,9,49,10,77
197B,140,129,113,54,2,10,54,10,80
197C,160,150,136,63,2,8,62,8,79
197D,182,174,164,72,2,5,71,6,75
198A,149,145,136,60,0,5,60,5,89
198B,166,162,155,67,0,4,67,4,82
198C,175,172,165,70,0,3,70,3,88
198D,193,188,185,77,2,1,77,2,41
199A,133,108,76,47,5,21,47,22,75
199B,152,129,101,55,5,18,55,18,75
199C,166,142,114,60,5,18,60,18,74
199D,179,155,131,65,5,16,65,16,70
N199A,108,93,73,40,3,13,40,13,78
N199B,102,78,63,35,8,12,35,15,57
N199C,130,95,61,43,10,24,43,26,68
N199D,152,110,65,50,12,31,50,33,69
200A,78,64,63,28,6,2,28,6,23
200B,90,68,65,31,9,5,31,11,29
200C,102,77,69,35,10,8,35,13,42
200D,119,86,73,40,12,13,40,17,46
N200A,83,71,65,31,4,5,31,7,51
N200B,116,104,100,45,4,3,45,5,39
N200C,154,139,142,59,6,0,59,6,358
N200D,187,176,181,73,5,-2,73,5,340
201A,130,116,116,50,6,2,50,6,14
201B,147,133,135,57,6,1,57,6,2
201C,164,150,155,63,7,-2,63,7,347
201D,180,166,169,69,6,-1,69,6,356
202A,58,55,58,24,2,-2,24,3,321
202B,117,116,126,49,3,-6,49,6,295
202C,161,158,167,66,3,-5,66,6,302
202D,207,203,214,82,4,-6,82,7,303
203A,57,52,54,22,2,-1,22,2,344
203B,58,53,56,23,3,-1,23,4,335
203C,54,52,59,22,2,-4,22,5,301
203D,55,55,59,23,1,-3,23,3,291
